threshold,coverage,n_selected,useful_precision,strong_useful_precision,actionable_precision,mean_usefulness,mean_actionability
0.7,0.765,153,0.7189542483660131,0.006535947712418301,0.026143790849673203,0.7254901960784313,0.026143790849673203
0.75,0.555,111,0.7567567567567568,0.009009009009009009,0.02702702702702703,0.7657657657657657,0.02702702702702703
0.8,0.345,69,0.8115942028985508,0.0,0.014492753623188406,0.8115942028985508,0.014492753623188406
0.85,0.145,29,0.7241379310344828,0.0,0.034482758620689655,0.7241379310344828,0.034482758620689655
0.9,0.025,5,0.6,0.0,0.2,0.6,0.2
