model,accuracy,macro_f1,weighted_f1
majority_class,0.3225806451612903,0.0696864111498257,0.1573564122738001
tfidf_logistic_regression,0.2580645161290322,0.1891037116601026,0.2475408952488748
minilm_centroid,0.3870967741935484,0.2690655209452201,0.3402861993693912
minilm_knn,0.3870967741935484,0.2663847117794485,0.3708545557441991
qwen_fewshot,0.3548387096774194,0.1549019607843137,0.3765338393421885
qwen_boundary_aware,0.4516129032258064,0.1757575757575757,0.4505376344086022
qwen_boundary_aware_v2,0.3870967741935484,0.1432506887052341,0.3616813294232648
rule_plus_minilm,0.4838709677419355,0.3425349087003222,0.4601018675721562
rule_v2_plus_minilm_final,0.45161290322580644,0.3568206229860365,0.4246179966044143
