method,k,queries,useful_at_k,strong_useful_at_k,actionable_at_k,strong_actionable_at_k,mean_usefulness,mean_actionability
bm25,1,200,0.665,0.665,0.65,0.145,1.33,0.795
bm25,3,200,0.825,0.675,0.72,0.155,0.825,0.435
bm25,5,200,0.865,0.69,0.75,0.17,0.715,0.38
dense,1,200,0.74,0.74,0.735,0.13,1.48,0.865
dense,3,200,0.845,0.74,0.785,0.145,0.96,0.495
dense,5,200,0.87,0.76,0.81,0.19,0.83,0.443
hybrid,1,200,0.725,0.07,0.12,0.005,0.795,0.125
hybrid,3,200,0.86,0.15,0.21,0.01,0.7583333333333333,0.10666666666666667
hybrid,5,200,0.9,0.23,0.29,0.02,0.735,0.103
